,identifier,text,keywords 
357,APW_ENG_20060512.0330,"Mekong River countries pledge cooperation in fighting human trafficking. Six Asian countries where human trafficking is rampant pledged Friday to cooperate more in fighting the trade in people for sexual exploitation and forced labor. ""The responsibility for all of us to address the human rights abuses resulting from the crime of human trafficking is an enormous one,"" said a statement from Ing Kantha Pavi, Cambodia's Minister of Women's Affairs. She said the struggle against the illegal trade must be waged ""as long as our citizens continue to be subjected to such inhumane conditions, in effect as modern-day slaves."" Her comments came at a three-day meeting of senior officials from the Greater Mekong sub-region, which also includes Vietnam, Laos, Thailand, Myanmar and China _ all countries in the Mekong River area. The conference ended Friday. Cambodian Deputy Minister of Women's Affairs You Ay said the meeting set out strategy for future actions to be adopted at a ministerial meeting planned in Beijing next year.","{'trafficking', 'sexual exploitation', 'exploitation'}"
358,APW_ENG_20060514.0279,"Doctors strike at Indian government hospitals to protest affirmative action plans. A doctors' strike that began in the Indian capital to protest an affirmative action program at state-run medical colleges spread to other parts of the country Sunday, threatening to cripple services at major government health care facilities. Medical students demonstrated across the country, angered by police violence against doctors protesting Saturday at government hospitals in the capital, New Delhi, and Bombay. The protests were sparked by the government's decision to increase the percentage of low-caste Indians at state-run medical colleges to 49.5 percent of the student body. Currently, 22.5 percent of admissions entries are set aside for low-caste Hindus and students from ethnic minority backgrounds. Similar affirmative action programs already exist in other state-run educational institutions, aimed at creating equal opportunities for low-caste Hindus, who have faced discrimination for centuries. Emergency health services at New Delhi hospitals were the worst hit . Television stations showed dozens of patients on stretchers lying unattended outside emergency rooms, many of them poor people unable to afford treatment at private hospitals.","{'violence', 'discrimination', 'equal opportunities'}"
359,APW_ENG_20060516.1263,"Ricky Martin's foundation signs agreement to combat child trafficking. The Ricky Martin Foundation has signed an agreement with the International Organization for Migration to combat sexual exploitation and the trafficking of children. The agreement, signed in Madrid, Spain, on Tuesday with Martin looking on, will help develop joint efforts between the two organizations. IOM is implementing over 150 countertrafficking projects around the globe to raise awareness, lend support to victims and train law enforcement. ""We are committed to ending child exploitation,"" the pop star said in statement. ""Unfortunately, more than half of trafficking victims worldwide are children, forced into pornography, prostitution and labor servitude, among other forms of exploitation."" ""We are certain that this alliance will create a global call to action,"" he added. Martin started the Ricky Martin Foundation 10 years ago to help children in need. Its People for Children project has been active in anti-trafficking programs.","{'trafficking', 'sexual exploitation', 'exploitation'}"
360,APW_ENG_20060605.0923,"U.S. warns Germany about prostitution risk, accuses 12 nations of failing to stop human trafficking. The United States accused 12 nations Monday of failing to do enough to stop the modern-day slave trade in prostitutes, child sex slaves and forced laborers and warned key ally Germany that it should do more to stop an expected tide of trafficking for sexual exploitation during the coming World Cup. ""The U.S. government opposes prostitution,"" a State Department report on global human trafficking said. ""These activities are inherently harmful and dehumanizing."" According to some estimates, thousands of foreign women, many from Eastern Europe, will engage in sex work in Germany during the four-week tournament that begins Friday. The United States called Germany a ""source, transit and destination country"" for sex workers and other exploited people. The 2006 Trafficking in Persons Report still gave Germany its highest overall rating for compliance with effort to stop trafficking and noted German efforts to combat exploitation during the World Cup. ""Nonetheless, due to the sheer size of the event, the potential for increased human trafficking during the games remains a concern,"" the report said.","{'trafficking', 'sexual exploitation', 'exploitation'}"
361,APW_ENG_20060606.0255,"U.S. removes Philippines from human trafficking watch list, cites improvements. The United States removed the Philippines from its human trafficking watch list because of the country's progress in fighting modern day slavery, including forced prostitution, sex trafficking and child labor, the U.S. Embassy said Tuesday. The U.S. State Department's annual ""Trafficking in Persons"" report, released Monday, moves the Philippines up a tier _ from its watch list of problem nations, to one that is making significant efforts to combat trafficking. The report congratulated the Philippines for last year's improvements, saying the government ""has stepped up efforts to implement its anti-trafficking law and made initial progress in implementing strategies to combat trafficking in persons, particularly in prosecuting human traffickers."" But it said the Philippines still does not fully comply with minimum standards and remains a source, transit and destination country for men, women and children trafficked for sexual exploitation or forced labor. The report noted that the Justice Department tripled the number of prosecutors, resulting in a fourfold increase in cases presented for prosecution. The government also sponsored ""impressive efforts (to help) trafficking victims,"" including arrangements with nongovernment organizations and Philippine embassies to provide shelter, counseling and medical assistance to victims.","{'trafficking', 'sexual exploitation', 'exploitation'}"
362,APW_ENG_20060606.0750,"U.S. State Department report: Albania not doing enough to fight human trafficking. The U.S. State Department issued a report criticizing Albania for not doing enough to fight human trafficking, and said the tiny Balkan country remained a source for prostitution and forced labor. According to the 2006 Trafficking in Persons Report released on Monday, Albania is still classified as a Tier 2 country _ one which does not fully comply with minimum standards, but is making significant efforts to meet them. ""Albania is primarily a source country for women and children trafficked for the purposes of sexual exploitation and forced labor,"" said the report made available by the U.S. Embassy in Tirana. ""The government of Albania does not fully comply with the minimum standards for the elimination of trafficking; however, it is making significant efforts to do so,"" it said. The report lists three tiers. Tier 3 is for a country that neither complies with minimum standards nor is making significant efforts to do so. Tier 1 classifies countries as meeting the minimum standards for the elimination of severe forms of trafficking.","{'trafficking', 'sexual exploitation', 'exploitation'}"
363,APW_ENG_20060621.0702,"Sri Lankan foreign minister to visit India amid upsurge in violence in his island nation. Sri Lanka's foreign minister is scheduled to meet with leaders in India on Thursday to discuss the deteriorating situation in his island nation, an official said Wednesday. Renewed attacks by government forces and Tamil Tiger rebels have raised fears of that Sri Lanka is slipping back into a civil war, amid the collapse of a 2002 cease-fire accord. ""The peace process will dominate the agenda,"" Navtej Sarna, the Indian External Affairs Ministry spokesman, said in a statement. ""The main purpose of the visit is to apprise the Indian leadership of the situation in Sri Lanka."" Sri Lankan Foreign Minister Mangala Samaraweera will leave India on Friday. The Liberation Tigers of Tamil Eelam have been fighting for an independent homeland for minority Tamils in Sri Lanka since 1983, accusing the majority Sinhalese of discrimination. The government denies the charge.","{'violence', 'discrimination', 'leadership'}"
364,APW_ENG_20060627.1231,"U.S. congressional committee takes stand against sexual exploitation in Germany. The International Relations Committee of the House of Representatives endorsed a bill Tuesday that urges the German government to take further action to combat sex trafficking. The bill was sponsored by Rep. Christopher Smith, who has been complaining that the throngs of visitors to the World Cup has converted Germany into a hub for traffickers of women for sexual exploitation. ""There is an inherent contradiction in Germany's policies,"" Smith said. ""On the one hand, the German government says it wants to reduce exploitation of women through anti-trafficking programs, but at the same time its legalization of prostitution fuels the demand for sexual services which inevitably results in the exploitation of women, mostly from Eastern Europe and Russia.""","{'trafficking', 'sexual exploitation', 'exploitation'}"
365,APW_ENG_20060704.0400,"Report: No rise in human trafficking in Germany due to World Cup. There have been no signs of the surge in human trafficking and forced prostitution that some experts predicted ahead of the World Cup in Germany, according to preliminary research released Tuesday. Sweden's aid agency and the International Organization for Migration, or IOM, a Geneva-based nonprofit group, credited preventive efforts by German police and anti-trafficking activists. ""These efforts began already a year ago and have probably strongly contributed to the fact that human trafficking for sexual exploitation did not increase as much as feared,"" IOM spokesman Fredric Larsson said in a statement. Before the World Cup, some trafficking experts warned that thousands of foreign women, many from Eastern Europe, would be forced into sex work during the four-week tournament that started June 9. However, the preliminary findings by IOM and the Swedish International Development Cooperation Agency indicated such fears had not materialized.","{'trafficking', 'sexual exploitation', 'exploitation'}"
366,APW_ENG_20060814.1072,"Report raises questions about U.S. government data on cross-border trafficking. The investigative arm of Congress raised questions Monday about the reliability of State Department methods for gathering data on international trafficking in persons for sexual exploitation or slave labor. In a report issued in June, the State Department said 12 nations risk a loss of foreign aid for failing to do enough to stop trafficking. The Government Accountability Office expressed doubt about the reliability of State Department claims that 600,000 to 800,000 persons are victims of cross border trafficking each year. ""The U.S. government's estimate was developed by one person who did not document his work, so the estimate may not be replicable, casting doubt on its reliability,"" the GAO said in a report. Ambassador John Miller, who heads the State Department's trafficking office, said accurate estimates are hard to come by because ""victims don't stand in line in public and raise their hands to be counted.""","{'trafficking', 'sexual exploitation', 'exploitation'}"
367,APW_ENG_20061007.0155,"Democratic congressional candidate criticizes Republicans over e-mail scandal. A Democratic congressional candidate whose son was abducted 17 years ago said Republican congressional leadership failed to protect teenage House interns from former Congressman Mark Foley's advances. ""Foley sent obvious predatory signals, received loud and clear by members of congressional leadership, who swept them under the rug to protect their political power,"" Patty Wetterling charged in her party's weekly radio address Saturday. ""If a teacher did this and the principal was told but did nothing, once the community found out, that principal would be fired."" Wetterling, a Minnesota Democrat running for an open seat against Republican state Senator Michele Bachmann, is already airing a hard-hitting television ad over revelations that Foley had been sending inappropriate e-mails to teenage interns, called pages, for years. ""We need a new direction in Congress because our children need strong voices,"" Wetterling said in the radio address. ""We need to stop the sexual exploitation of children across the country, and in Washington we must hold accountable all those complicit in allowing this victimization to happen.""","{'sexual exploitation', 'leadership', 'exploitation'}"
368,APW_ENG_20061027.1061,"U.N. official urges Ukraine to strengthen efforts to combat children trafficking. A visiting United Nations official on Friday urged Ukraine to strengthen efforts to combat child trafficking, which he said remained a major problem for the ex-Soviet nation. ""I remain concerned at the low rate of prosecution and sentencing of traffickers, authors of child pornography and other crimes against children,"" said Juan Miguel Petit, a U.N. official in charge of the world body's efforts to stop child prostitution, child pornography and other crimes against children. Petit said that the government should strengthen its efforts to combat the problems. Its recommendations included creating a separate juvenile justice system, naming a special ombudsman on children's rights and setting up a national commission to protect children rights. Ukraine remains a primary source for men, women and children trafficked to Europe, the Middle East and Russia for sexual exploitation and forced labor, according to international experts. Low salaries and high unemployment force thousands of Ukrainians to seek employment abroad, increasing their vulnerability to exploitation, they say. The International Organization for Migration says it has provided assistance to about 3,000 Ukrainians who were victims of trafficking since 2000, but estimates that that number is only a small portion of the victims. Petit said that 10 percent of these victims were children.","{'trafficking', 'sexual exploitation', 'exploitation'}"
369,APW_ENG_20070213.0389,"Rights group: India fails to fight discrimination against Hindu untouchables. Indians at the bottom of India's Hindu caste system are attacked, raped and killed daily due to their status, even though the rigid social hierarchy has been outlawed for decades, an international human rights group said Tuesday. India has a strikingly uneven record of battling discrimination against its 165 million dalits, or untouchables. A former president and the current chief justice are dalits, but another 1.3 million earn a pittance clearing human excrement off train tracks. Five decades after the caste system was outlawed, the vast majority of dalits remain relegated ""to a lifetime of discrimination, exploitation and violence, including severe forms of torture,"" Human Rights Watch said in a report written with the Center for Human Rights and Global Justice at New York University's law school. ""India needs to mobilize the entire government to make good on its paper commitments and end caste abuses,"" said Brad Adams, Human Rights Watch's Asia director. Indian officials were not immediately available for comment.","{'violence', 'discrimination', 'exploitation'}"
370,APW_ENG_20070219.0484,"Rice pledges to return to Middle East to resume peace efforts. U.S. Secretary of State Condoleezza Rice on Monday said she would soon return to the Middle East to push forward with attempts to restart peace making. Rice spoke after more than two hours of talks with Israeli Prime Minister Ehud Olmert and Palestinian President Mahmoud Abbas. ""The president and prime minister agreed that they would meet together again soon. They reiterated their desire for American participation and leadership to overcome obstacles, rally regional and international support and move forward toward peace. In that vein, I expect to return to the region soon,"" Rice said. ""All three of us affirmed our commitment to a two-state solution, agreed that a Palestinian state cannot be born of violence and terror and reiterated our acceptence of previous commitments and obligations including the road map."" The road map is an internationally backed peace plan calling for an independent state alongside Israel. Despite such commitments, Rice reported no progress in restarting talks, which broke down more than six years ago. Neither Abbas nor Olmert joined Rice as she delivered her brief statement, and she exited the room without taking questions.","{'violence', 'leadership', 'participation'}"
371,APW_ENG_20070227.0182,"Young people urge governments at U.N. meeting fighting discrimination against girls to "" listen to us! "". A South African teenager speaking on behalf of young people had a message for government ministers and officials attending a high-level U.N. meeting on ending discrimination and violence against girls: ""It's time to listen to us!"" Quilinta Nepaul, 17, said participants at the annual meeting of the Commission on the Status of Women, which opened Monday, should talk to the more than 200 boys and girls participating in the 10-day session -- and read and heed a report reflecting the views of over 1,300 young people from 59 countries. The key finding of that report -- called ""It's time to listen to us!"" -- is that unwritten laws hold incredible power when it comes to discrimination against girls and that many cultural practices were responsible for violations of girls' rights, she said. These cultural practices include payment of a dowry or bride price, forced marriages, preferences for a son over a daughter, machismo, and women's work burden, said Nepaul, who volunteers at the Phoenix Welfare Center outside Durban to promote awareness of the rights of children and women. ""Young people identify the victimization of girls and the lack of awareness of their rights as the major cause for discrimination and violence,"" she said. ""We also recognize education is one of the most powerful methods of eliminating violence and discrimination against girls.""","{'forced marriage', 'violence', 'discrimination'}"
372,APW_ENG_20070227.0200,"Young people urge governments at U.N. meeting fighting discrimination against girls to "" listen to us! "". A South African teenager speaking on behalf of young people had a message for government ministers and officials attending a high-level U.N. meeting on ending discrimination and violence against girls: ""It's time to listen to us!"" Quilinta Nepaul, 17, said participants at the annual meeting of the Commission on the Status of Women, which opened Monday, should talk to the more than 200 boys and girls participating in the 10-day session -- and read and heed a report reflecting the views of over 1,300 young people from 59 countries. The key finding of that report -- called ""It's time to listen to us!"" -- is that unwritten laws hold incredible power when it comes to discrimination against girls and that many cultural practices were responsible for violations of girls' rights, she said. These cultural practices include payment of a dowry or bride price, forced marriages, preferences for a son over a daughter, machismo, and women's work burden, said Nepaul, who volunteers at the Phoenix Welfare Center outside Durban to promote awareness of the rights of children and women. ""Young people identify the victimization of girls and the lack of awareness of their rights as the major cause for discrimination and violence,"" she said. ""We also recognize education is one of the most powerful methods of eliminating violence and discrimination against girls.""","{'forced marriage', 'violence', 'discrimination'}"
373,APW_ENG_20070303.0288,"Teenage girls at U.N. meeting urge action against sex slavery, trafficking, child labor. A 16-year-old Nepalese girl burst into tears describing her work in a match factory to help support her abandoned mother. An 18-year-old Jordanian girl spoke out about violence against girls in rural areas. A 15-year-old former girl soldier from Congo cried when she recalled her suffering as a sex slave. The girls are among more than 200 young people attending a high-level meeting of the Commission on the Status of Women, which this year is focusing on discrimination and violence against girls. They spoke at a panel and a news conference about issues ranging from rape, trafficking and prostitution to education, child labor and AIDS. ""The most important message is that governments should ensure that every working child gets a free education,"" said Sunita Tamang, lamenting that in her community in Nepal ""people think that if you educate a girl child, it will only embarrass you."" She said, tearfully, she could not go to school because she had to work, as her mother was a single parent. But through a program supported by the U.N. children's agency, UNICEF, she started going to school in the morning and working in the factory making match boxes in the afternoon. In her spare time, Tamang started a club with other working children to campaign for education for youngsters who have to work -- and to campaign against violence against children.","{'trafficking', 'violence', 'discrimination'}"
374,APW_ENG_20070308.0319,"Security Council calls for end to pervasive violence against girls and women. On the eve of International Women's Day, the U.N. Security Council called for an end to the ""pervasive violence"" against girls and women during armed conflicts and demanded that the perpetrators be punished. The council reiterated ""its utmost condemnation"" of the killing, maiming, sexual abuse, abduction and trafficking of girls and women and called on all warring parties to protect them, especially from rape and other forms of sexual violence. In a presidential statement read at a formal meeting Wednesday, the council emphasized the responsibility of all 192 U.N. member states ""to put an end to impunity and to prosecute those responsible for genocide, crimes against humanity, and war crimes including those relating to sexual and other violence against women and girls."" The theme of International Women's Day on Thursday and the two-week meeting of the Commission on the Status of Women, which ends Friday, is discrimination and violence against girls -- and ending the impunity for perpetrators. Rachel Mayanja, the special adviser to Secretary-General Ban Ki-moon on gender issues and the advancement of women, told a press conference that girls and women are subjected to violence every day in every country -- and the violence ""transcends politics, culture and religion, race, class, income and age.""","{'trafficking', 'violence', 'discrimination'}"
375,APW_ENG_20070308.0509,"EU marks International Women ' s Day with call for gender equality. The European Union marked International Women's Day on Thursday with a pledge to fight discrimination and domestic violence against women. German Chancellor Angela Merkel, meanwhile, prepared to chair an EU summit -- the first woman to do so in more than two decades. While gender gaps in employment and education are narrowing, the pay gap remains around 15 percent across the 27-nation EU. Women account for just 32 percent of managers, 10 percent of board members and 3 percent of CEOs of large companies. A report by EU statistical agency Eurostat compiled from national data gathered between 1998 and 2006 said that women were more likely to be unemployed than men. ""Patriarchal structures still exist and women tend to be in lower position. The reduction of salary inequalities has not gone far enough,"" German Development Minister Heidemarie Wieczorek-Zeul told a seminar at the European Parliament.","{'violence', 'discrimination', 'gender equality'}"
376,APW_ENG_20070308.0524,"EU marks International Women ' s Day with call for gender equality. The European Union marked International Women's Day on Thursday with a pledge to fight discrimination and domestic violence against women. German Chancellor Angela Merkel, meanwhile, prepared to chair an EU summit -- the first woman to do so in more than two decades. In 1986, then-British Prime Minister Margaret Thatcher chaired an EU summit. While gender gaps in employment and education are narrowing, the pay gap remains around 15 percent across the 27-nation EU. Women account for just 32 percent of managers, 10 percent of board members and 3 percent of CEOs of large companies. A report by EU statistical agency Eurostat compiled from national data gathered between 1998 and 2006 said that women were more likely to be unemployed than men. ""Patriarchal structures still exist and women tend to be in lower position. The reduction of salary inequalities has not gone far enough,"" German Development Minister Heidemarie Wieczorek-Zeul told a seminar at the European Parliament.","{'violence', 'discrimination', 'gender equality'}"
377,APW_ENG_20070309.0158,"AP Interview: On eve of Bush visit, Colombian president pleads for continued aid. Facing skeptics in the new Democratic-led U.S. Congress, President Alvaro Uribe pleaded with the American public on Thursday to continue a US$700 million (euro532 million) annual aid package that he credits for making his violence-tortured nation more peaceful and less corrupt. ""I ask the world, I ask the United States, to support us. We haven't yet won but we are winning. And we will persist,"" Uribe said in an interview with The Associated Press three days before his friend and close ally U.S. President George W. Bush arrives for a six-hour visit. The ambitious goal of law-and-order Uribe: a Colombia ""without terrorist paramilitaries,"" without ""guerrilla terrorists,"" without drug trafficking or corruption. The Colombian president is besieged by a political scandal in which eight close allies in Congress and his hand-picked former domestic intelligence chief have been jailed for allegedly helping right-wing militias in a reign of terror. The ""para-politico"" scandal also prompted Uribe's foreign minister to resign last month when her brother -- a senator -- and her father -- a regional powerbroker -- were implicated for alleged participation in the kidnapping of a political rival.","{'trafficking', 'violence', 'participation'}"
378,APW_ENG_20070309.0239,"AP Interview: On eve of Bush visit, Colombian president pleads for continued aid. Facing skeptics in the new Democratic-led U.S. Congress, President Alvaro Uribe pleaded with the American public to continue a US$700 million (euro532 million) annual aid package that he credits for making his violence-tortured nation more peaceful and less corrupt. ""I ask the world, I ask the United States, to support us. We haven't yet won but we are winning. And we will persist,"" Uribe said in an interview with The Associated Press on Thursday, three days before his friend and close ally U.S. President George W. Bush arrives for a six-hour visit. The ambitious goal of law-and-order Uribe: a Colombia ""without terrorist paramilitaries,"" without ""guerrilla terrorists,"" without drug trafficking or corruption. The Colombian president is besieged by a political scandal in which eight close allies in Congress and his hand-picked former domestic intelligence chief have been jailed for allegedly colluding with right-wing militias in a reign of terror that nearly subverted Colombian democracy. The ""para-politico"" scandal also prompted Uribe's foreign minister to resign last month when her brother -- a senator -- and father -- a regional power broker -- were implicated for alleged participation in the kidnapping of a political rival.","{'trafficking', 'violence', 'participation'}"
379,APW_ENG_20070313.0628,"Kenyan police launch manhunt for couple accused of child sex abuse. Kenyan police launched a nationwide appeal on Tuesday to capture a couple wanted by Interpol for human trafficking, child sex abuse and distributing thousands of child pornography images on the Internet. The European man and his Kenyan female partner are believed to operate at the country's coastal holiday resorts, police said as they issued photographs of the couple for the first time to local media. According to the United Nations Children's Fund, sexual exploitation of children in Kenya is rife, with Kenya's coast having a reputation as a haven for sex tourism. Up to a third of girls in these resorts are engaged in child prostitution, said the U.N. report released late last year. National police spokesman Gideon Kibunjah said they were alerted by Interpol who have been tracking the couple for more than two years and have intercepted thousands of the pictures and videos of Kenyan girls being sexually abused. The couple, whose identities were not released, were distributing the material in Europe, Kibunjah told The Associated Press.","{'trafficking', 'sexual exploitation', 'exploitation'}"
380,APW_ENG_20070419.1140,"Spanish police arrest 60 in crackdown on prostitution ring. Police in southern Spain arrested 60 people Thursday in a crackdown on a human trafficking ring that forced an estimated 2,000 Russian women into prostitution, an official said. Authorities raided five brothels and nine homes in the province of Almeria, arresting 13 people suspected of leading the ring, said Juan Jose Lopez Garzon, the head of the Spanish Interior Ministry office in the Andalusia region, which includes Almeria. All 13 have been charged with illegal trafficking of people for sexual exploitation, prostitution and offenses against the rights of foreign citizens and workers. Police found 34 Russian women in four of the brothels and arrested them for being in Spain without residency papers. Investigators believe the women were brought to Spain with fake documentation and kept under strict lockdown in the nightclubs where they were forced to work.","{'trafficking', 'sexual exploitation', 'exploitation'}"
381,APW_ENG_20070601.1127,"Philadelphia council says city can end Boy Scout office lease over stand against gays. The city of Philadelphia may require the local Boy Scouts of America chapter to affirm that it will not discriminate against openly gay people or else lose its rent-free headquarters. The City Council passed a resolution Thursday that City Solicitor Romulo L. Diaz Jr. said was a last step needed to end the Scouts' lease under a 1928 ordinance that leased the land for their headquarters to them in perpetuity. Diaz and Councilman Darrell L. Clarke, whose district includes the building, said they hoped the resolution would prompt the two sides to resolve the dispute so the Scouts could continue to use the building at a nominal rent. Jeff Jubelirer, a spokesman for the Boy Scouts of America's Cradle of Liberty Council, as the Philadelphia chapter is known, said any decision probably would involve the leadership of the scouting organization's National Council, and he did not know how scout officials would react. The U.S. Supreme Court ruled in 2000 that as a private group, the boy scouts have a First Amendment constitutional right to bar gays from membership. The Cradle of Liberty Council adopted a nondiscrimination policy in 2003 but was ordered to revoke it by the National Council, which said local councils had no right to deviate from national rules that bar participation by anyone who is openly gay.","{'participation', 'discrimination', 'leadership'}"
382,APW_ENG_20070705.0727,"Cambodian women rescued from sexual slavery in Malaysia return home. Three Cambodian women who escaped from sexual slavery in Malaysia last year were returned home this week, an aid group and officials said Thursday. The three, ages 18 to 23, came back Tuesday after working as prostitutes for several years in Malaysia, said Somaly Mam, director of the nonprofit group Afesip. Its name is the French acronym for Acting for Women in Distressing Situations. The case underlines the widespread problem of human trafficking in Southeast Asia, where economic desperation in poorer countries drives such exploitation. There are few mechanisms to protect them. Cambodia was recently placed on a U.S. human trafficking watch list for the second consecutive year, ""because it failed to show evidence of increasing efforts to combat trafficking in persons, particularly in addressing reports of public officials' complicity in trafficking,"" according to the U.S. State Department's annual report on worldwide human trafficking. The report describes Cambodia as ""a source, transit, and destination country for men, women, and children trafficked for the purposes of commercial sexual exploitation and forced labor.""","{'trafficking', 'sexual exploitation', 'exploitation'}"
383,APW_ENG_20070717.0648,"Ricky Martin taking anti-trafficking message to Dominican TV screens, radio. Pop star Ricky Martin will appear on Dominican television and radio for the next six months -- not singing or dancing but warning people about human trafficking and sexual exploitation. ""According to some reports, more women are trafficked from the Dominican Republic than from any other country in the Western hemisphere,"" said Jemini Pandya of the Geneva-based International Organization for Migration, which is teaming up with the Puerto Rican singer's charitable foundation. Starting Wednesday, Martin will make public service announcements for TV and radio as part of the ""Llama y Vive"" (""Call and Live"") counter-trafficking campaign that has already done work in Costa Rica, El Salvador, Nicaragua and Peru. The ads will publicize a phone line that offers free help and information about trafficking. Posters and other informational material will be distributed throughout the Dominican Republic, where, according to the IOM, both men and women have been trafficked for sexual exploitation. The singer -- whose hits include ""She Bangs,"" ""Shake Your Bon-Bon"" and ""Livin' La Vida Loca"" -- started the Ricky Martin Foundation a decade ago to help children in need.","{'trafficking', 'sexual exploitation', 'exploitation'}"
384,APW_ENG_20070801.0592,"Study: Sex trafficking spreading HIV in South Asia. Trafficking of women across South Asia to work as prostitutes is likely a key factor in the spread of HIV/AIDS across the region, according to a study released Wednesday in the Journal of the American Medical Association. The study, which looked at Nepali women who had been trafficked into the sex trade in India and later repatriated, found that nearly 40 percent of them were HIV-positive with the figure rising beyond 60 percent among those trafficked before age 15. ""Our study for the first time documents very high rates of HIV in girls trafficked for sexual exploitation at very young ages,"" said lead author Jay Silverman, an associate professor at Harvard's School of Public Health. South Asia is one of the worst affected areas with some 2.5 million people infected with HIV/AIDS in India alone. The report estimated that some 150,000 girls and women are trafficked each year across the region. A U.S. State Department report released last month found that India has the world's largest human trafficking problem.","{'trafficking', 'sexual exploitation', 'exploitation'}"
385,APW_ENG_20070830.1142,"UN secretary-general should tell Sudan to arrest war crimes suspects, court official says. The U.N. secretary-general should press Sudan to arrest two suspects -- including a government minister -- suspected of atrocities in Darfur and hand them to the International Criminal Court, the tribunal's prosecutor has urged. Prosecutor Luis Moreno-Ocampo brought up the arrest warrants when he met with Secretary General Ban Ki-moon in New York on Wednesday, just days before Ban sets off on his first trip to Sudan since assuming leadership of the world body, a court official said Thursday. Sudanese President Omar al-Bashir needs to be told ""there are two arrest warrants of the ICC outstanding, including one against a minister, that Sudan is a member of the United Nations and has the obligation to enforce these arrest warrants,"" said Beatrice Le Fraper Du Hellen, who deals with the court's relations with other countries. More than 200,000 people have died and more than 2.5 million have been displaced in Sudan's Darfur region since ethnic African rebels took up arms against the Arab-dominated central government in 2003, accusing it of discrimination. Sudan is accused of retaliating by unleashing Arab militias known as janjaweed responsible for much of the violence -- an accusation the government denies. Ban said he wants to visit Sudan to push the peace process, seek to get a 26,000-strong hybrid African Union-U.N. force on the ground quickly and press for delivery of humanitarian aid.","{'violence', 'discrimination', 'leadership'}"
386,APW_ENG_20070925.1019,"Jordan ' s largest Islamic opposition group says it ' ll run in November ' s parliamentary polls. Jordan's largest opposition group said Tuesday that it will take part in the parliamentary elections in November. The Islamic Action Front ended speculation about its participation after it withdrew from July's local elections citing government fraud. A press statement issued by the Front, the political arm of the Muslim Brotherhood Movement, said that ""in view of the difficult national and regional situation and to spare our youth from pessimism and depression, which could lead to violence and destruction ... the Front's leadership has to participate in the elections."" The Front has 17 seats in Jordan's 110-member parliament. But the group has lost much of its clout in recent years for failing to deliver on pledges to address rampant unemployment and poverty. The statement did not include a list of candidates for the Nov. 20 elections, but the party's chief Zaki Bani Ersheid said that the names would be announced some time next week.","{'violence', 'leadership', 'participation'}"
387,APW_ENG_20071129.1012,"Greek police break up international sex trafficking ring. Police raids in Greece's two largest cities on Thursday shut down a network trafficking in women for the sex trade in Greece and several other countries. About 200 police officers raided houses and businesses in Athens and Thessaloniki in an operation overseen by the international police organizations Europol and Interpol. Thirty suspects were arrested -- nine gang members and 21 associates, police said. Thousands of women from Eastern Europe and the Balkans are forced into prostitution each year in Greece and other European countries under the pretext of helping them find jobs in the West. Police said in a statement that the police action had ""broken up one of the biggest criminal gangs active in the sexual exploitation of immigrant women in our country."" Three victims of the ring -- two Russians and a Romanian woman -- were released in the operation.","{'trafficking', 'sexual exploitation', 'exploitation'}"
388,APW_ENG_20071226.0867,"AP Interview: UN envoy in Haiti works to prevent peacekeeper sex abuse. Every unit in the U.N.'s 7,800-strong Haitian peacekeeping force has been warned against misconduct after a sex-abuse scandal erupted last month, the top U.N. official in Haiti said Wednesday. In a wide-ranging interview with The Associated Press, chief envoy Hedi Annabi said officials are keeping a close eye on peacekeepers after 108 Sri Lankan soldiers were recalled last month when investigators found they had paid for sex with Haitians, some of whom were underage. ""The force commander has visited all of the units one by one to warn them against any possible misconduct,"" said Annabi, who took charge of the peacekeeping mission in September. ""We are here to serve our Haitian friends and not create problems."" Almost a tenth of Sri Lanka's battalion in Haiti has been recalled and now faces legal proceedings and courts-martial at home, Annabi said. Three officers were withdrawn for failure of leadership and the unit's commander was replaced. The alleged sexual exploitation angered many across Haiti, whose 8.7 million people already have an uneasy relationship with the U.N. force, which was sent in 2004 to end the chaos that followed the ouster of President Jean-Bertrand Aristide.","{'sexual exploitation', 'leadership', 'exploitation'}"
389,APW_ENG_20080217.0895,"UN Security Council meets on Kosovo after calls for emergency session. Russia tried to block Kosovo's independence during a closed-door emergency session of the U.N. Security Council on Sunday, saying it is deeply concerned about the safety of Serbs living in the territory. The discussion among members of the 15-nation council continued to expose deep divisions among them on the future of Kosovo, home to some of the most important shrines of the Serbian Orthodox faith. Russia backs its close ally Serbia, while the United States, Britain, France and other European Union members are supporting the majority Kosovo Albanians. The council met at the request of Serbia and Russia, which argues that Kosovo's declaration of independence from Serbia made earlier Sunday violates a 1999 council resolution. The session got off to a rocky start; shortly after it began, the meeting had to be suspended for a couple of hours because of a lack of interpreters. Secretary-General Ban Ki-moon gave council members a private briefing on the situation and spoke to reporters afterward. He said Serbia's president told him that Kosovo's declaration carries no legal weight, and Kosovo's prime minister assured him he was committed to ""equal opportunities and no discrimination"" against anyone in Kosovo. Ban urged all sides to ""refrain from any actions or statements that could endanger peace, incite violence or jeopardize security in Kosovo and the region.""","{'violence', 'discrimination', 'equal opportunities'}"
